0.514,0.521,0.084,0.181,0.15,0.132,0.148,15
0.372,0.353,0.08,0.079,0.066,0.063,0.068,7
0.615,0.613,0.119,0.239,0.172,0.186,0.208,9
0.493,0.521,0.111,0.182,0.144,0.149,0.153,10
0.345,0.336,0.071,0.072,0.06,0.051,0.053,7
0.473,0.412,0.084,0.124,0.094,0.101,0.118,8
0.615,0.605,0.133,0.275,0.159,0.186,0.327,20
0.635,0.622,0.111,0.271,0.197,0.196,0.258,16
0.541,0.529,0.111,0.18,0.145,0.147,0.163,9
0.642,0.647,0.133,0.316,0.211,0.198,0.317,19
0.608,0.546,0.124,0.214,0.13,0.194,0.208,14
0.48,0.496,0.097,0.143,0.112,0.106,0.133,10
0.561,0.546,0.119,0.191,0.146,0.124,0.188,11
0.622,0.588,0.128,0.242,0.183,0.224,0.203,10
0.534,0.504,0.088,0.168,0.112,0.105,0.183,10
0.574,0.58,0.115,0.235,0.173,0.174,0.238,12
0.378,0.378,0.075,0.102,0.063,0.051,0.113,7
0.493,0.479,0.088,0.159,0.126,0.114,0.128,10
0.392,0.403,0.071,0.09,0.065,0.056,0.098,7
0.507,0.445,0.088,0.134,0.114,0.098,0.113,9
0.378,0.378,0.084,0.086,0.064,0.081,0.073,11
0.412,0.37,0.088,0.079,0.053,0.064,0.083,10
0.662,0.647,0.137,0.332,0.287,0.281,0.268,12
0.642,0.605,0.119,0.27,0.213,0.276,0.198,9
0.73,0.714,0.146,0.411,0.344,0.396,0.302,10
0.655,0.647,0.124,0.328,0.257,0.247,0.297,11
0.682,0.664,0.164,0.352,0.265,0.357,0.283,11
0.696,0.655,0.124,0.329,0.239,0.307,0.278,12
0.716,0.706,0.159,0.331,0.264,0.288,0.292,15
0.676,0.622,0.124,0.305,0.264,0.298,0.198,11
0.682,0.697,0.146,0.353,0.264,0.318,0.327,10
0.818,0.849,0.146,0.58,0.407,0.369,0.457,15
0.797,0.79,0.146,0.473,0.37,0.47,0.347,18
0.818,0.832,0.155,0.636,0.547,0.516,0.452,19
0.851,0.832,0.177,0.605,0.425,0.541,0.487,13
0.527,0.504,0.093,0.169,0.152,0.163,0.123,8
0.628,0.706,0.137,0.43,0.356,0.404,0.337,16
0.507,0.504,0.093,0.184,0.159,0.153,0.143,8
0.676,0.655,0.119,0.312,0.256,0.267,0.258,11
0.378,0.395,0.08,0.115,0.089,0.113,0.088,9
0.507,0.471,0.093,0.15,0.125,0.119,0.113,9
0.642,0.622,0.119,0.301,0.243,0.257,0.268,14
0.223,0.202,0.04,0.024,0.021,0.03,0.018,5
0.176,0.16,0.049,0.014,0.016,0.019,0.01,5
0.182,0.16,0.044,0.014,0.011,0.016,0.013,4
0.426,0.403,0.084,0.071,0.058,0.059,0.073,7
0.534,0.529,0.106,0.205,0.196,0.298,0.138,9
0.52,0.538,0.106,0.162,0.119,0.144,0.148,7
0.338,0.319,0.062,0.056,0.05,0.033,0.043,6
0.608,0.622,0.142,0.295,0.238,0.28,0.243,9
0.601,0.597,0.106,0.21,0.16,0.145,0.188,8
0.439,0.445,0.084,0.107,0.089,0.078,0.098,7
0.554,0.513,0.115,0.191,0.174,0.126,0.158,10
0.534,0.513,0.106,0.168,0.141,0.138,0.148,10
0.446,0.429,0.088,0.136,0.116,0.12,0.108,7
0.574,0.58,0.124,0.234,0.172,0.23,0.218,8
0.5,0.496,0.106,0.156,0.128,0.125,0.133,8
0.534,0.555,0.119,0.208,0.185,0.157,0.168,8
0.23,0.227,0.053,0.03,0.028,0.018,0.023,4
0.581,0.58,0.111,0.206,0.165,0.171,0.173,7
0.507,0.487,0.093,0.145,0.12,0.147,0.133,7
0.581,0.588,0.097,0.221,0.204,0.21,0.173,9
0.615,0.597,0.115,0.246,0.202,0.254,0.198,10
0.473,0.454,0.084,0.133,0.114,0.105,0.098,7
0.601,0.58,0.106,0.205,0.157,0.172,0.183,8
0.541,0.504,0.106,0.169,0.157,0.133,0.133,8
0.662,0.647,0.142,0.323,0.237,0.254,0.317,12
