0.308,0.186,0.217,0.308,0.107,0.15,0.374,0.268,0.255,0.267,0.129,6
0.24,0.216,0.205,0.015,0.119,0.042,0.285,0.133,0.527,0.314,0.242,6
0.413,0.196,0.241,0.097,0.122,0.098,0.204,0.154,0.491,0.256,0.339,6
0.327,0.147,0.193,0.121,0.145,0.157,0.411,0.164,0.427,0.209,0.306,6
0.327,0.147,0.193,0.121,0.145,0.157,0.411,0.164,0.427,0.209,0.306,6
0.413,0.196,0.241,0.097,0.122,0.098,0.204,0.154,0.491,0.256,0.339,6
0.231,0.235,0.096,0.098,0.107,0.098,0.295,0.15,0.418,0.291,0.258,6
0.308,0.186,0.217,0.308,0.107,0.15,0.374,0.268,0.255,0.267,0.129,6
0.24,0.216,0.205,0.015,0.119,0.042,0.285,0.133,0.527,0.314,0.242,6
0.413,0.137,0.259,0.014,0.104,0.091,0.278,0.129,0.455,0.267,0.484,6
0.413,0.186,0.247,0.013,0.071,0.031,0.125,0.071,0.245,0.395,0.645,5
0.462,0.147,0.241,0.055,0.077,0.052,0.232,0.146,0.382,0.36,0.274,5
0.394,0.098,0.223,0.009,0.092,0.049,0.153,0.094,0.418,0.477,0.452,5
0.269,0.078,0.241,0.014,0.104,0.16,0.311,0.079,0.745,0.349,0.71,7
0.433,0.333,0.373,0.286,0.092,0.136,0.378,0.252,0.236,0.523,0.274,5
0.269,0.088,0.229,0.014,0.068,0.091,0.239,0.083,0.482,0.384,0.548,7
0.24,0.392,0.024,0.008,0.11,0.098,0.209,0.11,0.473,0.163,0.258,6
0.231,0.569,0.289,0.009,0.059,0.094,0.153,0.04,0.555,0.198,0.774,8
0.346,0.255,0.253,0.008,0.071,0.052,0.376,0.088,0.364,0.36,0.532,6
0.26,0.225,0.084,0.106,0.104,0.111,0.288,0.162,0.455,0.326,0.242,5
0.231,0.569,0.289,0.009,0.059,0.094,0.153,0.04,0.555,0.198,0.774,8
0.25,0.225,0.229,0.035,0.086,0.059,0.216,0.079,0.409,0.151,0.484,7
0.288,0.176,0.253,0.017,0.119,0.136,0.262,0.114,0.682,0.302,0.403,8
0.365,0.578,0.084,0.014,0.193,0.08,0.369,0.127,0.3,0.337,0.21,5
0.269,0.186,0.247,0.011,0.128,0.049,0.309,0.154,0.636,0.291,0.323,6
0.308,0.167,0.193,0.129,0.11,0.188,0.548,0.162,0.482,0.326,0.387,6
0.298,0.157,0.211,0.006,0.128,0.115,0.318,0.114,0.664,0.256,0.323,6
0.308,0.196,0.235,0.124,0.125,0.105,0.306,0.173,0.6,0.36,0.403,6
0.346,0.186,0.289,0.008,0.113,0.052,0.285,0.083,0.427,0.314,0.581,6
0.327,0.235,0.217,0.021,0.071,0.122,0.244,0.067,0.345,0.57,0.694,7
0.452,0.157,0.235,0.15,0.104,0.063,0.309,0.198,0.436,0.36,0.323,6
0.433,0.059,0.205,0.008,0.098,0.017,0.088,0.121,0.682,0.209,0.355,6
0.346,0.167,0.217,0.022,0.122,0.101,0.211,0.094,0.427,0.256,0.452,6
0.231,0.039,0.205,0.014,0.107,0.143,0.251,0.131,0.636,0.337,0.161,6
0.192,0.186,0.12,0.22,0.104,0.07,0.394,0.175,0.591,0.174,0.355,5
0.337,0.196,0.259,0.017,0.211,0.066,0.265,0.065,0.427,0.233,0.774,5
0.26,0.304,0.139,0.074,0.125,0.08,0.325,0.121,0.473,0.151,0.323,5
0.308,0.245,0.193,0.009,0.131,0.125,0.299,0.067,0.373,0.07,0.516,6
0.337,0.157,0.235,0.266,0.142,0.15,0.325,0.247,0.445,0.163,0.097,5
0.337,0.157,0.235,0.266,0.142,0.15,0.325,0.247,0.445,0.163,0.097,5
0.279,0.147,0.235,0.029,0.484,0.213,0.346,0.127,0.355,0.163,0.226,6
0.279,0.157,0.235,0.035,0.487,0.213,0.343,0.127,0.345,0.14,0.226,6
0.308,0.225,0.157,0.104,0.178,0.091,0.35,0.16,0.373,0.279,0.29,6
0.269,0.157,0.163,0.012,0.142,0.108,0.332,0.121,0.455,0.395,0.242,6
0.279,0.147,0.157,0.012,0.151,0.108,0.336,0.121,0.473,0.395,0.242,6
0.346,0.098,0.187,0.012,0.145,0.125,0.367,0.115,0.4,0.36,0.323,7
